Latency_us,CumulativeProbability,Metric
3068,0.68807339,append_submit_to_ack_batch_latency
3069,0.68990826,append_submit_to_ack_batch_latency
3071,0.69174312,append_submit_to_ack_batch_latency
3072,0.69357798,append_submit_to_ack_batch_latency
3072,0.69541284,append_submit_to_ack_batch_latency
3072,0.69724771,append_submit_to_ack_batch_latency
3073,0.69908257,append_submit_to_ack_batch_latency
3074,0.70091743,append_submit_to_ack_batch_latency
3074,0.70275229,append_submit_to_ack_batch_latency
3074,0.70458716,append_submit_to_ack_batch_latency
3074,0.70642202,append_submit_to_ack_batch_latency
3074,0.70825688,append_submit_to_ack_batch_latency
3075,0.71009174,append_submit_to_ack_batch_latency
3076,0.71192661,append_submit_to_ack_batch_latency
3077,0.71376147,append_submit_to_ack_batch_latency
3078,0.71559633,append_submit_to_ack_batch_latency
3078,0.71743119,append_submit_to_ack_batch_latency
3078,0.71926606,append_submit_to_ack_batch_latency
3078,0.72110092,append_submit_to_ack_batch_latency
3079,0.72293578,append_submit_to_ack_batch_latency
3079,0.72477064,append_submit_to_ack_batch_latency
3081,0.72660550,append_submit_to_ack_batch_latency
3081,0.72844037,append_submit_to_ack_batch_latency
3081,0.73027523,append_submit_to_ack_batch_latency
3081,0.73211009,append_submit_to_ack_batch_latency
3081,0.73394495,append_submit_to_ack_batch_latency
3081,0.73577982,append_submit_to_ack_batch_latency
3081,0.73761468,append_submit_to_ack_batch_latency
3081,0.73944954,append_submit_to_ack_batch_latency
3081,0.74128440,append_submit_to_ack_batch_latency
3082,0.74311927,append_submit_to_ack_batch_latency
3082,0.74495413,append_submit_to_ack_batch_latency
3082,0.74678899,append_submit_to_ack_batch_latency
3083,0.74862385,append_submit_to_ack_batch_latency
3083,0.75045872,append_submit_to_ack_batch_latency
3084,0.75229358,append_submit_to_ack_batch_latency
3084,0.75412844,append_submit_to_ack_batch_latency
3084,0.75596330,append_submit_to_ack_batch_latency
3084,0.75779817,append_submit_to_ack_batch_latency
3084,0.75963303,append_submit_to_ack_batch_latency
3084,0.76146789,append_submit_to_ack_batch_latency
3084,0.76330275,append_submit_to_ack_batch_latency
3084,0.76513761,append_submit_to_ack_batch_latency
3085,0.76697248,append_submit_to_ack_batch_latency
3086,0.76880734,append_submit_to_ack_batch_latency
3086,0.77064220,append_submit_to_ack_batch_latency
3086,0.77247706,append_submit_to_ack_batch_latency
3087,0.77431193,append_submit_to_ack_batch_latency
3087,0.77614679,append_submit_to_ack_batch_latency
3087,0.77798165,append_submit_to_ack_batch_latency
3087,0.77981651,append_submit_to_ack_batch_latency
3088,0.78165138,append_submit_to_ack_batch_latency
3088,0.78348624,append_submit_to_ack_batch_latency
3088,0.78532110,append_submit_to_ack_batch_latency
3088,0.78715596,append_submit_to_ack_batch_latency
3089,0.78899083,append_submit_to_ack_batch_latency
3089,0.79082569,append_submit_to_ack_batch_latency
3089,0.79266055,append_submit_to_ack_batch_latency
3089,0.79449541,append_submit_to_ack_batch_latency
3090,0.79633028,append_submit_to_ack_batch_latency
3091,0.79816514,append_submit_to_ack_batch_latency
3091,0.80000000,append_submit_to_ack_batch_latency
3091,0.80183486,append_submit_to_ack_batch_latency
3092,0.80366972,append_submit_to_ack_batch_latency
3093,0.80550459,append_submit_to_ack_batch_latency
3093,0.80733945,append_submit_to_ack_batch_latency
3093,0.80917431,append_submit_to_ack_batch_latency
3094,0.81100917,append_submit_to_ack_batch_latency
3094,0.81284404,append_submit_to_ack_batch_latency
3095,0.81467890,append_submit_to_ack_batch_latency
3096,0.81651376,append_submit_to_ack_batch_latency
3096,0.81834862,append_submit_to_ack_batch_latency
3096,0.82018349,append_submit_to_ack_batch_latency
3099,0.82201835,append_submit_to_ack_batch_latency
3100,0.82385321,append_submit_to_ack_batch_latency
3101,0.82568807,append_submit_to_ack_batch_latency
3101,0.82752294,append_submit_to_ack_batch_latency
3102,0.82935780,append_submit_to_ack_batch_latency
3127,0.83119266,append_submit_to_ack_batch_latency
3128,0.83302752,append_submit_to_ack_batch_latency
3134,0.83486239,append_submit_to_ack_batch_latency
3135,0.83669725,append_submit_to_ack_batch_latency
3136,0.83853211,append_submit_to_ack_batch_latency
3136,0.84036697,append_submit_to_ack_batch_latency
3139,0.84220183,append_submit_to_ack_batch_latency
3139,0.84403670,append_submit_to_ack_batch_latency
3139,0.84587156,append_submit_to_ack_batch_latency
3141,0.84770642,append_submit_to_ack_batch_latency
3141,0.84954128,append_submit_to_ack_batch_latency
3141,0.85137615,append_submit_to_ack_batch_latency
3142,0.85321101,append_submit_to_ack_batch_latency
3142,0.85504587,append_submit_to_ack_batch_latency
3142,0.85688073,append_submit_to_ack_batch_latency
3142,0.85871560,append_submit_to_ack_batch_latency
3142,0.86055046,append_submit_to_ack_batch_latency
3142,0.86238532,append_submit_to_ack_batch_latency
3143,0.86422018,append_submit_to_ack_batch_latency
3144,0.86605505,append_submit_to_ack_batch_latency
3144,0.86788991,append_submit_to_ack_batch_latency
3145,0.86972477,append_submit_to_ack_batch_latency
3145,0.87155963,append_submit_to_ack_batch_latency
3146,0.87339450,append_submit_to_ack_batch_latency
3146,0.87522936,append_submit_to_ack_batch_latency
3146,0.87706422,append_submit_to_ack_batch_latency
3146,0.87889908,append_submit_to_ack_batch_latency
3146,0.88073394,append_submit_to_ack_batch_latency
3146,0.88256881,append_submit_to_ack_batch_latency
3147,0.88440367,append_submit_to_ack_batch_latency
3147,0.88623853,append_submit_to_ack_batch_latency
3147,0.88807339,append_submit_to_ack_batch_latency
3147,0.88990826,append_submit_to_ack_batch_latency
3147,0.89174312,append_submit_to_ack_batch_latency
3148,0.89357798,append_submit_to_ack_batch_latency
3148,0.89541284,append_submit_to_ack_batch_latency
3148,0.89724771,append_submit_to_ack_batch_latency
3149,0.89908257,append_submit_to_ack_batch_latency
3149,0.90091743,append_submit_to_ack_batch_latency
3149,0.90275229,append_submit_to_ack_batch_latency
3149,0.90458716,append_submit_to_ack_batch_latency
3149,0.90642202,append_submit_to_ack_batch_latency
3150,0.90825688,append_submit_to_ack_batch_latency
3150,0.91009174,append_submit_to_ack_batch_latency
3150,0.91192661,append_submit_to_ack_batch_latency
3151,0.91376147,append_submit_to_ack_batch_latency
3153,0.91559633,append_submit_to_ack_batch_latency
3153,0.91743119,append_submit_to_ack_batch_latency
3154,0.91926606,append_submit_to_ack_batch_latency
3154,0.92110092,append_submit_to_ack_batch_latency
3154,0.92293578,append_submit_to_ack_batch_latency
3157,0.92477064,append_submit_to_ack_batch_latency
3158,0.92660550,append_submit_to_ack_batch_latency
3161,0.92844037,append_submit_to_ack_batch_latency
3161,0.93027523,append_submit_to_ack_batch_latency
3163,0.93211009,append_submit_to_ack_batch_latency
3163,0.93394495,append_submit_to_ack_batch_latency
3164,0.93577982,append_submit_to_ack_batch_latency
3164,0.93761468,append_submit_to_ack_batch_latency
3164,0.93944954,append_submit_to_ack_batch_latency
3170,0.94128440,append_submit_to_ack_batch_latency
3171,0.94311927,append_submit_to_ack_batch_latency
3173,0.94495413,append_submit_to_ack_batch_latency
3198,0.94678899,append_submit_to_ack_batch_latency
3204,0.94862385,append_submit_to_ack_batch_latency
3206,0.95045872,append_submit_to_ack_batch_latency
3207,0.95229358,append_submit_to_ack_batch_latency
