Latency_us,CumulativeProbability
3841,0.79668050
3841,0.79875519
3841,0.80082988
3851,0.80290456
3852,0.80497925
3852,0.80705394
3852,0.80912863
3852,0.81120332
3852,0.81327801
3852,0.81535270
3852,0.81742739
3852,0.81950207
3852,0.82157676
3852,0.82365145
3852,0.82572614
3852,0.82780083
3853,0.82987552
3853,0.83195021
3853,0.83402490
3853,0.83609959
3853,0.83817427
3853,0.84024896
3853,0.84232365
3853,0.84439834
3853,0.84647303
3853,0.84854772
3853,0.85062241
3853,0.85269710
3854,0.85477178
3854,0.85684647
3854,0.85892116
3854,0.86099585
3854,0.86307054
3854,0.86514523
3854,0.86721992
3854,0.86929461
3854,0.87136929
3854,0.87344398
3854,0.87551867
3854,0.87759336
3854,0.87966805
3855,0.88174274
3855,0.88381743
3855,0.88589212
3855,0.88796680
3855,0.89004149
3855,0.89211618
3855,0.89419087
3855,0.89626556
3855,0.89834025
3855,0.90041494
3855,0.90248963
3855,0.90456432
3855,0.90663900
3855,0.90871369
3856,0.91078838
3856,0.91286307
3856,0.91493776
3856,0.91701245
3856,0.91908714
3856,0.92116183
3872,0.92323651
3872,0.92531120
3872,0.92738589
3872,0.92946058
3872,0.93153527
3872,0.93360996
3872,0.93568465
3872,0.93775934
3872,0.93983402
3873,0.94190871
3873,0.94398340
3873,0.94605809
3873,0.94813278
3873,0.95020747
3873,0.95228216
3873,0.95435685
3873,0.95643154
3873,0.95850622
3873,0.96058091
3873,0.96265560
3873,0.96473029
3873,0.96680498
3873,0.96887967
3873,0.97095436
3873,0.97302905
3873,0.97510373
3874,0.97717842
3874,0.97925311
3874,0.98132780
3874,0.98340249
3874,0.98547718
3874,0.98755187
3874,0.98962656
3874,0.99170124
3874,0.99377593
3874,0.99585062
3874,0.99792531
3875,1.00000000
