Timestamp(ms),Broker_0_GBps,Broker_1_GBps,Broker_2_GBps,Broker_3_GBps,Total_GBps
6352,2.58579,2.49577,0,2.57416,7.65572
6358,2.28672,2.37675,0,2.47192,7.13539
6363,2.84996,2.845,0,2.74544,8.4404
6368,2.29836,2.30331,0,2.32124,6.92291
6373,2.57416,2.48222,0,2.57416,7.63054
6378,2.45495,2.48222,0,2.29836,7.23553
6383,2.4889,2.48222,0,2.61593,7.58705
6388,2.42252,2.39029,0,2.51179,7.3246
6393,2.37865,2.52895,0,2.31895,7.22656
6398,2.69718,2.61936,0,2.70023,8.01678
6403,2.45113,2.39029,0,2.26421,7.10564
6408,2.57416,2.57416,0,2.78111,7.92942
6413,2.39029,2.48222,0,2.36721,7.23972
6419,2.49386,2.48222,0,2.45934,7.43542
6424,2.57416,2.57416,0,2.69165,7.83997
6429,2.28672,2.35958,0,2.29568,6.94199
6434,2.84996,2.7874,0,2.66609,8.30345
6439,2.30999,2.21958,0,2.40192,6.9315
6444,2.57416,2.6659,0,2.62051,7.86057
6449,2.5856,2.56252,0,2.53029,7.67841
6454,2.55108,2.57416,0,2.56004,7.68528
6459,2.76966,2.66609,0,2.60277,8.03852
6464,2.37865,2.4601,0,2.45361,7.29237
6469,2.57416,2.50511,0,2.67773,7.757
6474,2.42481,2.42004,0,2.37865,7.22351
6480,2.53963,2.57301,0,2.57416,7.68681
6485,2.39029,2.47993,0,2.48222,7.35245
6490,2.57416,2.54707,0,2.53963,7.66087
6495,2.75803,2.56977,0,2.60868,7.93648
6500,2.35577,2.48661,0,2.35977,7.20215
6505,2.77386,2.66609,0,2.78854,8.22849
6510,2.31705,2.48222,0,2.30999,7.10926
6515,2.57416,2.48566,0,2.63157,7.69138
6520,2.49386,2.38686,0,2.37236,7.25307
6525,2.37865,2.48222,0,2.53468,7.39555
6530,2.57416,2.57416,0,2.57416,7.72247
6536,2.30255,2.20642,0,2.23713,6.7461
6541,2.67048,2.75803,0,2.71378,8.14228
6546,2.425,2.48222,0,2.40383,7.31106
6551,2.5425,2.52762,0,2.65446,7.72457
6556,2.48222,2.59762,0,2.39029,7.47013
6561,2.57416,2.5053,0,2.57416,7.65362
6566,2.65446,2.66609,0,2.66685,7.9874
6571,2.48222,2.48222,0,2.41261,7.37705
6576,2.58579,2.57416,0,2.61307,7.77302
6581,2.49367,2.48222,0,2.5238,7.49969
6586,2.64301,2.59609,0,2.57416,7.81326
6591,2.30999,2.36835,0,2.44846,7.12681
6597,2.56252,2.65751,0,2.59628,7.81631
6602,2.57416,2.49081,0,2.48222,7.54719
6607,2.56901,2.48222,0,2.48222,7.53345
6612,2.57931,2.66609,0,2.67773,7.92313
6617,2.49386,2.48222,0,2.47059,7.44667
6622,2.75154,2.66609,0,2.75803,8.17566
6627,2.33955,2.32296,0,2.29836,6.96087
6632,2.54822,2.61364,0,2.5507,7.71255
6637,2.36988,2.41814,0,2.32182,7.10983
6642,2.48222,2.51675,0,2.58579,7.58476
6647,2.57416,2.53963,0,2.47059,7.58438
