Timestamp(ms),Broker_0_GBps,Broker_1_GBps,Broker_2_GBps,Broker_3_GBps,Total_GBps
7166,2.50664,2.43282,2.50397,0,7.44343
7171,2.631,2.62356,2.54078,0,7.79533
7176,2.4929,2.48222,2.48985,0,7.46498
7181,2.48222,2.46677,2.49958,0,7.44858
7187,2.39029,2.50931,2.52628,0,7.42588
7192,2.48222,2.37865,2.34432,0,7.2052
7197,2.57416,2.57416,2.55108,0,7.69939
7202,2.6432,2.62375,2.59037,0,7.85732
7207,2.42481,2.51255,2.51026,0,7.44762
7212,2.56252,2.49424,2.62184,0,7.6786
7217,2.67544,2.59399,2.60868,0,7.87811
7222,2.57645,2.64626,2.56119,0,7.78389
7227,2.52056,2.40173,2.5526,0,7.4749
7233,2.34032,2.56271,2.39067,0,7.2937
7238,2.57416,2.55909,2.58541,0,7.71866
7243,2.87304,2.78473,2.74639,0,8.40416
7248,2.60868,2.56252,2.57416,0,7.74536
7253,2.43626,2.39029,2.48222,0,7.30877
7258,2.37865,2.50092,2.49386,0,7.37343
7263,2.58579,2.55547,2.56271,0,7.70397
7268,2.7153,2.66609,2.6659,0,8.04729
7273,2.42138,2.57416,2.49386,0,7.4894
7279,2.31323,2.20642,2.22931,0,6.74896
7284,2.49043,2.56214,2.55737,0,7.60994
7289,2.77023,2.58617,2.64835,0,8.00476
7294,2.55051,2.66609,2.61784,0,7.83443
7299,2.37865,2.425,2.43855,0,7.2422
7304,0,0,0,0,0
7309,0,0,0,0,0
7314,0,0,0,0,0
7319,0,0,0,0,0
7325,0,0,0,0,0
7330,0,0,0,0,0
7335,0,0,0,0,0
7340,0,0,0,0,0
7345,0,0,0,0,0
7350,0,0,0,0,0
7355,0,0,0,0,0
7360,0,0,0,0,0
7365,0,0,0,0,0
7371,0,0,0,0,0
7376,0,0,0,0,0
7381,0,0,0,0,0
7386,0,0,0,0,0
7391,0,0,0,0,0
7396,0,0,0,0,0
7401,0,0,0,0,0
