message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
512,10737418240,4,2,0,1,0,1,0,0,6488.35,0,0
512,10737418240,4,2,0,1,0,1,0,0,6788.74,0,0
512,10737418240,4,2,0,2,0,1,0,0,5606.02,0,0
512,10737418240,4,2,0,2,0,1,0,0,5795.32,0,0
512,10737418240,4,2,0,2,0,1,0,0,5893.73,0,0
512,10737418240,4,2,0,2,0,1,0,0,5506.94,0,0
512,10737418240,4,2,0,2,0,1,0,0,5178.93,0,0
512,10737418240,4,2,0,3,0,1,0,0,3587.52,0,0
512,10737418240,4,2,0,3,0,1,0,0,5246.82,0,0
512,10737418240,4,2,0,3,0,1,0,0,3082.56,0,0
512,10737418240,4,2,0,3,0,1,0,0,4550.66,0,0
512,10737418240,4,2,0,3,0,1,0,0,3366.85,0,0
1024,10737418240,4,2,0,1,0,1,0,0,7556.5,0,0
1024,10737418240,4,2,0,1,0,1,0,0,8774.38,0,0
1024,10737418240,4,2,0,1,0,1,0,0,8712.84,0,0
1024,10737418240,4,2,0,1,0,1,0,0,8832.78,0,0
1024,10737418240,4,2,0,1,0,1,0,0,9069.22,0,0
1024,10737418240,4,2,0,2,0,1,0,0,6979.29,0,0
1024,10737418240,4,2,0,2,0,1,0,0,7728.32,0,0
1024,10737418240,4,2,0,2,0,1,0,0,6834.62,0,0
1024,10737418240,4,2,0,2,0,1,0,0,7191.47,0,0
1024,10737418240,4,2,0,2,0,1,0,0,6396.79,0,0
1024,10737418240,4,2,0,3,0,1,0,0,6049.01,0,0
1024,10737418240,4,2,0,3,0,1,0,0,5822.89,0,0
1024,10737418240,4,2,0,3,0,1,0,0,5926.56,0,0
1024,10737418240,4,2,0,3,0,1,0,0,6344.74,0,0
1024,10737418240,4,2,0,3,0,1,0,0,5811.39,0,0
4096,10737418240,4,2,0,1,0,1,0,0,9838.54,0,0
4096,10737418240,4,2,0,1,0,1,0,0,9964.52,0,0
4096,10737418240,4,2,0,1,0,1,0,0,9865.34,0,0
4096,10737418240,4,2,0,1,0,1,0,0,9872.6,0,0
4096,10737418240,4,2,0,1,0,1,0,0,9639.67,0,0
4096,10737418240,4,2,0,2,0,1,0,0,8083.68,0,0
4096,10737418240,4,2,0,2,0,1,0,0,7550.08,0,0
4096,10737418240,4,2,0,2,0,1,0,0,7773.94,0,0
4096,10737418240,4,2,0,2,0,1,0,0,7771.71,0,0
4096,10737418240,4,2,0,2,0,1,0,0,7567.19,0,0
4096,10737418240,4,2,0,3,0,1,0,0,6733.22,0,0
4096,10737418240,4,2,0,3,0,1,0,0,6556.73,0,0
4096,10737418240,4,2,0,3,0,1,0,0,6440.75,0,0
4096,10737418240,4,2,0,3,0,1,0,0,6654.61,0,0
4096,10737418240,4,2,0,3,0,1,0,0,6476.73,0,0
